"sep=,"
"","","465780.KS"
"Date","2025","2024","2023","Historical Average"
"'02-Nov","","","100045","103307.5"
"'03-Nov","","","100005","103287.5"
"'04-Nov","","","","103287.5"
"'05-Nov","","106585","","103295"
"'06-Nov","","106610","100095","103352.5"
"'07-Nov","","106580","100285","103432.5"
"'08-Nov","","106655","100375","103515"
"'09-Nov","","","100425","103540"
"'10-Nov","","","100430","103542.5"
"'11-Nov","","106695","","103562.5"
"'12-Nov","","106690","","103560"
"'13-Nov","","106680","100385","103532.5"
"'14-Nov","","106665","100465","103565"
"'15-Nov","","106695","100830","103762.5"
"'16-Nov","","","101020","103857.5"
"'17-Nov","","","101185","103940"
"'18-Nov","","106680","","103932.5"
"'19-Nov","","106730","","103957.5"
"'20-Nov","","106770","101225","103997.5"
"'21-Nov","","","101375","104072.5"
"'22-Nov","","106895","101400","104147.5"
"'23-Nov","","","101440","104167.5"
"'24-Nov","","","101495","104195"
"'25-Nov","","","","104195"
"'26-Nov","","106995","","104245"
"'27-Nov","","107015","101450","104232.5"
"'28-Nov","","107075","101550","104312.5"
"'29-Nov","","107260","101785","104522.5"
"'30-Nov","","","101870","104565"
"'01-Dec","","","101845","104552.5"
"'02-Dec","","","","104552.5"
"'03-Dec","","","","104552.5"
"'04-Dec","","107425","101995","104710"
"'05-Dec","","107405","102050","104727.5"
"'06-Dec","","","102200","104802.5"
"'07-Dec","","","102100","104752.5"
"'08-Dec","","","102115","104760"
"'09-Dec","","107425","","104770"
"'10-Dec","","107510","","104812.5"
"'11-Dec","","107490","102090","104790"
"'12-Dec","","107505","102155","104830"
"'13-Dec","","107515","102185","104850"
"'14-Dec","","","102865","105190"
"'15-Dec","","","102750","105132.5"
"'16-Dec","","","","105132.5"
"'17-Dec","","","","105132.5"
"'18-Dec","","107440","102700","105070"
"'19-Dec","","107565","102635","105100"
"'20-Dec","","107505","102805","105155"
"'21-Dec","","","102885","105195"
"'22-Dec","","","102925","105215"
"'23-Dec","","","","105215"
"'24-Dec","","107485","","105205"
"'25-Dec","","","","105205"
"'26-Dec","","107470","102840","105155"
"'27-Dec","","104220","","103530"
"'28-Dec","","","102970","103595"
"'30-Dec","","104285","",""
