"sep=,"
"","","","","","","DB"
"Date","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","Historical Average"
"'21-Oct","","17.47","","8.92","13.49","9.41","8.08","","","12.7762","26.606","13.4762"
"'22-Oct","","17.57","","","13.63","9.45","7.91","10.72","","","27.0613","13.5128"
"'23-Oct","","17.32","10.15","","","9.65","7.99","10.7","16.63","","27.4542","13.522"
"'24-Oct","","17.12","10.06","9.06","","","7.9","10","17.18","12.928","","13.4982"
"'25-Oct","","16.84","10.8","9.29","13.53","","7.97","10","17.12","12.7405","","13.5395"
"'26-Oct","","","10.93","9.37","13.8","9.54","","9.67","16.72","12.9994","27.097","13.4936"
"'27-Oct","","","10.93","9.72","12.76","9.25","","","16.32","12.9369","26.9631","13.336"
"'28-Oct","","17.13","","9.8","12.99","9.25","8.05","","","13.053","27.0613","13.4254"
"'29-Oct","","17","","","12.82","9.24","7.98","9.64","","","24.9007","13.1684"
"'30-Oct","","16.75","11.09","","","9.25","7.36","9.74","16.26","","24.9543","13.1077"
"'31-Oct","","16.94","11.01","9.58","","","7.25","9.77","16.27","12.8477","","13.0692"
"'01-Nov","","17.05","11.06","9.61","13.21","","7.39","10.25","16.56","12.437","","13.1771"
"'02-Nov","","","11.34","9.56","13.13","9.64","","10.52","17.06","12.1423","25.481","13.3313"
"'03-Nov","","","11.48","9.41","13.37","9.96","","","16.82","12.1155","25.3292","13.3445"
"'04-Nov","","17.12","","9.72","12.75","9.92","7.66","","","12.0084","24.7668","13.2765"
"'05-Nov","","17.38","","","12.86","10.05","7.61","10.46","","","24.5704","13.2959"
"'06-Nov","","17.31","11.39","","","10.15","7.65","10.44","16.83","","24.7221","13.3081"
"'07-Nov","","17.23","11.25","9.8","","","7.76","10.61","16.68","12.6959","","13.3758"
"'08-Nov","","16.65","11.28","9.89","12.9","","7.63","10.34","17.04","12.7137","","13.3316"
"'09-Nov","","","11.18","9.64","12.76","10.62","","10.12","17.41","13.178","24.3293","13.3517"
"'10-Nov","","","11.29","10.18","12.66","10.72","","","17.94","14.044","23.8918","13.5126"
"'11-Nov","","17.19","","10.62","12.87","10.48","7.61","","","14.4547","23.6865","13.6261"
"'12-Nov","","16.76","","","12.76","10.41","7.63","9.73","","","23.2222","13.4817"
"'13-Nov","","16.4","11.34","","","10.73","7.28","9.86","17.93","","22.7758","13.4151"
"'14-Nov","","16.73","11.63","10.47","","","7.21","9.87","18.19","14.8565","","13.5222"
"'15-Nov","","16.98","11.84","10.55","12.72","","7.31","9.9","18.48","14.7761","","13.6062"
"'16-Nov","","","11.85","10.53","12.71","10.79","","9.81","19.04","14.3476","22.8561","13.6224"
"'17-Nov","","","12.2","10.52","12.96","10.82","","","19.13","14.3654","22.6954","13.6791"
"'18-Nov","","17.1","","10.5","12.88","10.72","7.35","","","14.2047","23.3383","13.7233"
"'19-Nov","","16.79","","","12.17","10.75","7.35","9.78","","","23.615","13.649"
"'20-Nov","","16.77","12.34","","","10.69","7.3","9.23","19.17","","23.1061","13.5481"
"'21-Nov","","16.8","12.19","10.44","","","7.38","9.44","19.01","14.3119","","13.5538"
"'22-Nov","","16.2","12.09","10.48","12.14","","7.36","","18.91","14.2137","","13.463"
"'23-Nov","","","","10.65","12.57","11.04","","9.25","","14.0976","22.7222","13.489"
"'24-Nov","","","12.15","","12.83","11.46","","","19.19","","22.6062","13.5794"
"'25-Nov","","16.48","","10.81","","11.37","7.38","","","14.0619","22.6597","13.6182"
"'26-Nov","","16.3","","","12.24","","7.29","9.73","","","","13.5802"
"'27-Nov","","16.29","12.09","","","11.36","7.36","9.84","18.74","","22.6508","13.5443"
"'28-Nov","","","12.16","10.54","","","","9.89","18.88","13.4905","","13.4861"
"'29-Nov","","17.01","12.37","10.58","12.18","","7.21","9.42","19","13.8744","","13.5655"
"'30-Nov","","","12.45","10.63","12.02","11.12","","9.16","18.86","14.1065","22.9365","13.5503"
"'01-Dec","","","12.59","10.42","12.02","11.45","","","18.98","14.3387","23.374","13.6553"
"'02-Dec","","17.08","","10.55","12.41","11.58","7.19","","","14.053","22.6865","13.628"
"'03-Dec","","17.59","","","12.09","11.77","7.06","9.39","","","22.6329","13.6706"
"'04-Dec","","17.47","12.49","","","11.77","7.17","9.06","19.12","","22.7579","13.6531"
"'05-Dec","","17.93","12.46","10.6","","","7.18","","18.76","14.8743","","13.7482"
"'06-Dec","","17.79","12.45","10.46","12.52","","7.22","8.9","18.5","16.3296","","13.8698"
"'07-Dec","","","12.53","10.44","12.79","11.58","","8.73","18.85","16.6689","22.5258","13.9125"
"'08-Dec","","","12.77","10.57","12.9","11.44","","","19.38","16.9993","21.8026","13.9602"
"'09-Dec","","17.7","","10.66","12.43","11.23","7.21","","","16.3207","21.8205","13.8251"
"'10-Dec","","17.84","","","12.41","11","7.19","8.38","","","21.6865","13.7637"
"'11-Dec","","17.89","12.81","","","10.62","7.26","8.33","19.3","","20.6955","13.6296"
"'12-Dec","","17.68","12.88","10.61","","","7.57","9.03","19.38","16.3475","","13.7223"
"'13-Dec","","17.89","12.99","10.91","12.2","","7.48","8.87","19.33","16.66","","13.7646"
"'14-Dec","","","13.13","10.67","12.31","10.61","","8.8","19.23","16.6689","20.6509","13.744"
"'15-Dec","","","13.14","10.27","12.23","10.85","","","19.43","16.91","20.8652","13.7865"
"'16-Dec","","17.97","","10.49","12.45","10.95","7.69","","","16.9725","21.2937","13.9186"
"'17-Dec","","17.61","","","12.25","11.13","7.81","8.6","","","21.0884","13.8521"
"'18-Dec","","17.18","13.07","","","11.07","7.75","8.69","20.1","","20.8294","13.8402"
"'19-Dec","","17.12","13.25","10.52","","","7.89","8.37","19.85","16.3029","","13.7452"
"'20-Dec","","16.93","13.3","11.17","12.16","","7.77","8.06","19.71","16.9725","","13.7972"
"'21-Dec","","","13.52","11.34","12.4","10.65","","7.87","19.7","16.7046","21.1151","13.8"
"'22-Dec","","","13.66","11.27","12.45","10.62","","","19.38","16.5528","21.2491","13.7752"
"'23-Dec","","17.04","","11.38","12.62","10.93","7.67","","","16.6332","21.8383","13.9022"
"'24-Dec","","17.18","","","","10.85","7.62","7.91","","","21.874","13.9107"
"'25-Dec","","","","","","","","","","","","13.9107"
"'26-Dec","","17.22","13.73","","","","7.66","8.16","19.23","","","13.9357"
"'27-Dec","","17.18","13.77","11.4","12.78","","7.69","7.81","19.06","16.4011","","13.8815"
"'28-Dec","","","13.62","11.24","12.7","11.19","","8.05","19.1","15.9993","21.8383","13.8608"
"'29-Dec","","","13.55","11.43","12.59","10.94","","","19.03","15.91","22.2044","13.8574"
"'30-Dec","","17.12","","11.52","12.52","10.89","7.72","","","16.16","21.8473",""
"'31-Dec","","17.05","","","12.5","10.9","7.78","8.15","","","21.5616",""
